                               No. of Molecules =     1600
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         42.3212
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en       -2105.83958
        Step              PE              KE                TE 
       436         -2092.50368         391.80290       -1700.70078
       437         -2092.40478         391.70401       -1700.70077
       438         -2092.30599         391.60524       -1700.70076
       439         -2092.20743         391.50667       -1700.70076
       440         -2092.10913         391.40838       -1700.70076
       441         -2092.01118         391.31043       -1700.70075
       442         -2091.91365         391.21290       -1700.70075
       443         -2091.81659         391.11584       -1700.70075
       444         -2091.72010         391.01935       -1700.70075
       445         -2091.62420         390.92346       -1700.70074
       446         -2091.52896         390.82821       -1700.70075
       447         -2091.43440         390.73365       -1700.70075
       448         -2091.34060         390.63985       -1700.70075
       449         -2091.24762         390.54687       -1700.70074
       450         -2091.15550         390.45476       -1700.70075
       451         -2091.06427         390.36354       -1700.70073
       452         -2090.97398         390.27325       -1700.70073
       453         -2090.88468         390.18395       -1700.70073
       454         -2090.79639         390.09566       -1700.70073
       455         -2090.70916         390.00843       -1700.70073
       456         -2090.62304         389.92230       -1700.70073
       457         -2090.53805         389.83732       -1700.70073
       458         -2090.45423         389.75350       -1700.70073
       459         -2090.37163         389.67090       -1700.70073
       460         -2090.29029         389.58956       -1700.70073
       461         -2090.21023         389.50950       -1700.70073
       462         -2090.13150         389.43077       -1700.70073
       463         -2090.05412         389.35339       -1700.70073
       464         -2089.97811         389.27738       -1700.70073
       465         -2089.90350         389.20277       -1700.70072
       466         -2089.83032         389.12960       -1700.70072
       467         -2089.75860         389.05788       -1700.70072
       468         -2089.68837         388.98766       -1700.70072
       469         -2089.61967         388.91896       -1700.70071
       470         -2089.55253         388.85183       -1700.70071
       471         -2089.48700         388.78629       -1700.70071
       472         -2089.42310         388.72238       -1700.70072
       473         -2089.36085         388.66013       -1700.70072
       474         -2089.30027         388.59956       -1700.70071
       475         -2089.24141         388.54070       -1700.70072
       476         -2089.18432         388.48360       -1700.70072
       477         -2089.12902         388.42830       -1700.70072
       478         -2089.07553         388.37482       -1700.70071
       479         -2089.02388         388.32318       -1700.70071
       480         -2088.97412         388.27341       -1700.70070
       481         -2088.92628         388.22558       -1700.70070
       482         -2088.88039         388.17969       -1700.70070
       483         -2088.83647         388.13577       -1700.70069
       484         -2088.79456         388.09388       -1700.70069
       485         -2088.75471         388.05403       -1700.70068
       486         -2088.71694         388.01626       -1700.70068
       487         -2088.68129         387.98062       -1700.70067
       488         -2088.64780         387.94713       -1700.70068
       489         -2088.61649         387.91582       -1700.70067
       490         -2088.58741         387.88673       -1700.70068
       491         -2088.56057         387.85990       -1700.70068
       492         -2088.53600         387.83532       -1700.70067
       493         -2088.51372         387.81305       -1700.70067
       494         -2088.49378         387.79311       -1700.70067
       495         -2088.47619         387.77552       -1700.70067
       496         -2088.46098         387.76032       -1700.70067
       497         -2088.44821         387.74754       -1700.70067
       498         -2088.43788         387.73721       -1700.70067
       499         -2088.43001         387.72935       -1700.70067
       500         -2088.42463         387.72397       -1700.70066
       501         -2088.42175         387.72109       -1700.70066
       502         -2088.42137         387.72071       -1700.70066
       503         -2088.42350         387.72285       -1700.70065
       504         -2088.42817         387.72752       -1700.70065
       505         -2088.43540         387.73476       -1700.70064
       506         -2088.44518         387.74454       -1700.70064
       507         -2088.45752         387.75688       -1700.70064
       508         -2088.47240         387.77176       -1700.70064
       509         -2088.48985         387.78921       -1700.70065
