                               No. of Molecules =     5400
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         63.4818
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en       -7107.20830
        Step              PE              KE                TE 
       466         -7073.12845        1333.86567       -5739.26278
       467         -7073.10078        1333.83799       -5739.26279
       468         -7073.07617        1333.81339       -5739.26278
       469         -7073.05475        1333.79197       -5739.26278
       470         -7073.03659        1333.77381       -5739.26277
       471         -7073.02178        1333.75900       -5739.26278
       472         -7073.01040        1333.74763       -5739.26277
       473         -7073.00257        1333.73980       -5739.26277
       474         -7072.99837        1333.73561       -5739.26276
       475         -7072.99791        1333.73516       -5739.26274
       476         -7073.00127        1333.73852       -5739.26275
       477         -7073.00847        1333.74573       -5739.26273
       478         -7073.01962        1333.75690       -5739.26272
       479         -7073.03483        1333.77211       -5739.26272
       480         -7073.05411        1333.79140       -5739.26271
       481         -7073.07755        1333.81484       -5739.26271
       482         -7073.10519        1333.84248       -5739.26271
       483         -7073.13708        1333.87437       -5739.26271
       484         -7073.17328        1333.91057       -5739.26271
       485         -7073.21384        1333.95112       -5739.26272
       486         -7073.25878        1333.99607       -5739.26271
       487         -7073.30815        1334.04543       -5739.26271
       488         -7073.36192        1334.09920       -5739.26271
       489         -7073.42008        1334.15738       -5739.26271
       490         -7073.48269        1334.21997       -5739.26272
       491         -7073.54973        1334.28700       -5739.26273
       492         -7073.62117        1334.35844       -5739.26273
       493         -7073.69697        1334.43424       -5739.26273
       494         -7073.77707        1334.51433       -5739.26274
       495         -7073.86142        1334.59867       -5739.26275
       496         -7073.94998        1334.68721       -5739.26276
       497         -7074.04266        1334.77989       -5739.26277
       498         -7074.13938        1334.87661       -5739.26277
       499         -7074.24007        1334.97730       -5739.26278
       500         -7074.34463        1335.08185       -5739.26279
       501         -7074.45296        1335.19016       -5739.26280
       502         -7074.56494        1335.30212       -5739.26281
       503         -7074.68044        1335.41761       -5739.26283
       504         -7074.79933        1335.53650       -5739.26284
       505         -7074.92145        1335.65861       -5739.26284
       506         -7075.04671        1335.78387       -5739.26284
       507         -7075.17495        1335.91210       -5739.26285
       508         -7075.30597        1336.04310       -5739.26287
       509         -7075.43960        1336.17672       -5739.26288
       510         -7075.57572        1336.31283       -5739.26289
       511         -7075.71410        1336.45121       -5739.26289
       512         -7075.85455        1336.59165       -5739.26289
       513         -7075.99691        1336.73400       -5739.26291
       514         -7076.14103        1336.87810       -5739.26293
       515         -7076.28665        1337.02371       -5739.26294
       516         -7076.43358        1337.17061       -5739.26297
       517         -7076.58164        1337.31866       -5739.26298
       518         -7076.73064        1337.46766       -5739.26299
       519         -7076.88036        1337.61737       -5739.26299
       520         -7077.03059        1337.76758       -5739.26301
       521         -7077.18108        1337.91805       -5739.26302
       522         -7077.33162        1338.06858       -5739.26304
       523         -7077.48197        1338.21891       -5739.26306
       524         -7077.63196        1338.36888       -5739.26308
       525         -7077.78136        1338.51827       -5739.26309
       526         -7077.92992        1338.66683       -5739.26310
       527         -7078.07746        1338.81434       -5739.26312
       528         -7078.22372        1338.96059       -5739.26313
       529         -7078.36851        1339.10537       -5739.26314
       530         -7078.51162        1339.24846       -5739.26316
       531         -7078.65277        1339.38960       -5739.26317
       532         -7078.79174        1339.52855       -5739.26319
       533         -7078.92826        1339.66507       -5739.26319
       534         -7079.06214        1339.79894       -5739.26320
       535         -7079.19319        1339.92998       -5739.26321
       536         -7079.32116        1340.05795       -5739.26321
       537         -7079.44585        1340.18262       -5739.26323
       538         -7079.56705        1340.30380       -5739.26325
       539         -7079.68452        1340.42127       -5739.26325
       540         -7079.79808        1340.53483       -5739.26325
       541         -7079.90753        1340.64428       -5739.26325
       542         -7080.01263        1340.74937       -5739.26326
       543         -7080.11318        1340.84990       -5739.26328
       544         -7080.20895        1340.94566       -5739.26329
       545         -7080.29975        1341.03644       -5739.26331
       546         -7080.38542        1341.12210       -5739.26331
       547         -7080.46585        1341.20252       -5739.26333
       548         -7080.54086        1341.27753       -5739.26334
       549         -7080.61029        1341.34692       -5739.26336
       550         -7080.67392        1341.41055       -5739.26337
       551         -7080.73163        1341.46826       -5739.26337
       552         -7080.78331        1341.51994       -5739.26337
       553         -7080.82881        1341.56543       -5739.26338
       554         -7080.86803        1341.60464       -5739.26339
       555         -7080.90086        1341.63746       -5739.26340
       556         -7080.92714        1341.66374       -5739.26340
       557         -7080.94680        1341.68340       -5739.26340
       558         -7080.95977        1341.69636       -5739.26341
       559         -7080.96595        1341.70254       -5739.26341
       560         -7080.96529        1341.70188       -5739.26341
       561         -7080.95775        1341.69434       -5739.26341
